id	DSS	day	bwc	vwr
SvBi038	1	2	98.2	63.7
SvBi038	1	3	99.1	75.7
SvBi038	1	4	98.6	56.6
SvBi038	1	5	95	44.9
SvBi038	1	6	88.5	23
SvBi038	1	7	81.7	4
SvBi049	1	0	100	79.3
SvBi049	1	1	98.6	88.6
SvBi049	1	2	100	74.2
SvBi049	1	3	96.6	47.3
SvBi049	1	4	93.2	24.1
SvBi049	1	5	92.3	2.3
SvBi053	1	0	100	14.9
SvBi053	1	1	114	50.9
SvBi053	1	2	121.6	47.1
SvBi053	1	3	115.2	45.2
SvBi053	1	4	112.3	33
SvBi053	1	5	99.4	14.4
SvBi053	1	6	93	6
SvBi053	1	7	87.1	15
SvBi053	1	8	80.7	0.8
SvBi087	2	0	100	104.1
SvBi087	2	1	96.8	89.2
